Team, score,  Efg_pct, Turnover_PCT, orb_pct, ft_rate, location, ast_PCT, stl_PCT, blk_PCT, class
BRK, 86,.480,11.7,16.2,.187, home, 72.7, 5.9, 3.4, loss
OKC, 109, .538, 12.5, 39.5, .121, away, 40.0, 3.3, 11.1, win
DAL, 106,.517,7.8,18.9,.184, home, 60.0, 9.8, 9.8, loss
IND, 110, .479, 10.8, 29.4, .200, away, 50.0, 10.8, 7.0, loss
GSW, 122,.556,14.4,32.6,.244, home, 72.1, 8.9, 5.1, win
MIL, 98, .476, 13.7, 34.1, .200, away, 76.9, 7.6, 20.0, loss
HOU, 102,.484,9.8,30.6,.117, home, 71.1, 10.8, 14.1, win
SAS, 108, .571, 6.2, 17.5, .129, away, 60.5, 11.4, 19.1, win
LAL, 95,.488,10.7,30.0,.155, home, 50.0, 3.4, 7.8, loss
LAC, 116, .651, 9.4, 9.1, .224, away, 62.8, 10.7, 4.5, win
NYK, 88,.412,15.3,26.7,.212, home, 72.7, 5.4, 3.8, loss
CHO, 120, .495, 7.5, 25.5, .198, away, 51.1, 9.4, 5.9, win
ORL, 116,.555,16.1,17.1,.165, home, 68.9, 5.6, 12.2, loss
MIA, 81, .432, 11.9, 28.6, .136, away, 39.4, 4.6, 4.0, loss
TOR, 101,.553,12.5,17.6,.240, home, 54.3, 4.6, 12.5, win
NYK, 84, .422, 13.3, 17.4, .247, away, 79.3, 4.2, 15.7, loss
